HUISNR,PC
1,6521BA
19,6957AB
1154,6546AS
17,6902PB
508,2952DG
38,6711HD
445,7535AZ
11,6731CL
50,6871XH
1105,6546AR
51,6741WJ
57,6524HV
9121,6537KJ
25,2526TM
8,6741EH
2414,6604LL
3,6716AH
21,6732GH
18,7037AB
51,6668CA
1014,6546BA
5,6744XA
136,6466GR
1,6525VK
28,6675AS
30,6661XG
23,6916BS
10,6827BD
114,6601JD
37,7061XV
14,4033KN
24,6921RW
78,7051WS
2,9414TN
308,6541CD
23,6545AC
25,6841HN
63,6811HC
15,6641EL
7,7271LC
110,6814KN
2,7041SC
9,6644AR
79,6921RZ
10,6551AD
10,6731EK
17,6616AV
4,6545AG
44,6961EK
27,6987EA
27,4143BR
2,6718XA
10,4401EZ
26,6523LC
2,7007CN
9,6602ET
16,6673DV
2,6611BP
5,7061AA
1,7102EM
7308,5692HH
43,6603AV
14,6718XT
36,5234GM
29,6621BV
7946,6601RP
16,3861SG
4020,6604LW
5,6611AH
74,6603BR
30,6602AV
40,6681LN
6,7091ZZ
7,4941VX
102,6524MJ
2025,6604LH
5,6581HN
10,6551DP
14,5651GR
21,6604BT
41,4001XA
1,4104BC
67,5327AB
1,4152GC
26,4119LZ
41,5262GD
21,5308KD
10,4104AK
40,4013CS
29,4032NA
8,5321JT
24,4033BK
7,4191NX
31,5301LX
302,1082ME
61,3371SX
9,4191NZ
3,5311PC
23,4196AK
1,4021CL
20,4051BW
4,4116CE
42,4211CC
46,5317KR
5,4001CH
11,3016GM
7,2952CA
32,1118LB
5,4043LZ
1,4241XS
10,5928NX
1,4191HE
4,4116CE
9,6669MH
6,5321JE
2,6659BP
19,5222BG
10,5928PN
15,5928RC
244,2142LE
2,3336LH
221,5928ND
2,5928LH
70,3316BL
17,5932CS
3,5801RV
2,5911JJ
25,5928PR
152,5928RH
10,5862AT
10,5928NL
12,5961PX
20,5928PL
60,5928PR
7,3195ND
11,6121RE
2,1118LK
10,5928PN
163,1075GX
32,5931BX
10,5928PN
8,5964PE
19,5993SL
16,5928PL
4,6598DL
6,5928LL
44,7587GA
6,5916RP
24,3088KA
70,1118LB
304,1017RN
3,5916LD
1,5986NT
63,5931HM
63,5931HM
23,5928PN
27,5922ED
19,5993SL
19,5993SL
15,5521DZ
5,3195ND
16,5928LC
33,5928LA
14,5928LH
21,1358CD
25,3165AC
21,5975RZ
22,5911CH
23,5928PA
21,6598DK
60,5928PR
25,5928PR
13,5807EW
38,6081PH
16,6006SM
1,5928LD
1,5813BN
4,6041AV
99,6071PX
85,5707LC
67,6065EM
36,5921JC
61,5931HM
59,5921KJ
46,5912HR
4,6014CA
111,5916PA
30,6043RM
65,6101BS
18,6001SE
75,5911GG
16,6081CX
2,6067AA
49,5802CB
1,5928LL
8,6082BC
166,5913XH
21,6003DK
12,5912JL
2,6082BC
107,3088GC
4,6199AD
4,6049CV
17,6019AA
33,6104AA
37,6031AD
156,6006AC
10,6088PA
2,6082BC
2,6003DB
16,6006SM
62,3089KR
9,6121RE
2,6082BC
71,6014AD
10,6051CR
20,6002SM
120,6002SX
51,6031CS
33,6031CD
194,6181MA
12,6135KH
16,6333AP
12,6135KH
52,2987VE
37,6136AK
11,6121RE
31,6465AB
45,6181DN
27,6442PB
10,6121PA
12,6411GM
28,6412PJ
7,4131LX
20,6361XN
54,6105BN
31,6199AC
57,6191RD
191,6413AE
56,6413AG
2,6941ST
41,6466NH
128,6411HW
62,6343PC
13,6199AC
4,6411KS
2,6241EL
5,6291BC
70,6199AA
1,6461KB
6,6135JH
9,5991NP
11,5768PD
1,6132BA
24,6365ED
148,6181MA
16,6199AD
29,1118LA
1,2742RB
19,5928RX
9,6121RE
25,5928LA
2,6361GZ
2,6101XH
54,6051AV
51,6415GE
39,6433KC
90,6191EH
1,6235NS
12,5912JL
24,6162KN
20,6229EE
27,6598DK
6,6464HM
83,5916PJ
7,6061DB
410,6181MD
1,6229PP
74,6222NV
10,6301CK
10,6041XD
1,6247EM
13,1211EX
12,3257LH
6,5349BG
4,5704RL
65,1118LN
15,8028PS
111,3542AB
17,5347KR
19,5347KR
17,5347KR
19,5347KR
5,5347KZ
30,5222BP
4,5411DK
15,5975RX
1,5347JM
43,5386KT
24,5482TK
13,5427ES
24,3606AS
2,3521CA
12,3542AC
40,5651GH
2007,6604LH
2,5807GB
2,4751XN
7,6422PJ
149,5235EC
9,4261KC
9,5258LH
3,1185XV
39,5342LW
39,5342LW
17,5051AA
7,5469ER
15,6836GK
2,4143HM
50,2408AN
83,5411AT
5,5657EA
64,5527LC
100,5504RP
36,5715PD
2000,5657EX
102,1101CM
2500,5657DZ
12,5651GL
12,5721VW
313,1431GB
7,5555XN
75,5757BJ
11,6021PP
7102,5692HC
33,3165AM
4,5694NN
34,5401PE
12,5667KX
9,5627GA
83,5575AE
73,5554SX
53,5691BA
9,6026PX
11,5531AE
70,5421RV
12,5657EN
14,3994DK
49,5684PH
2,5145NW
16,5145NS
1,5145NC
9,5047TM
14,5662TM
28,5451GV
165,5575AG
603,5462GH
2204,6604LD
3,5626BK
31,5651GK
63,5625CA
9,5262LL
6,6026VL
52,5236BP
10,5469EM
9,5916PJ
10,5405BW
6,5253RL
6,5281PL
2,5595XH
12,5347KM
3,5156NL
6,5661NG
57,5657EA
6,5236WB
16,5709RZ
208,5928RJ
6,5661NG
60,1332EJ
3,5632CW
15,1431BA
22,5262SJ
28,5451GV
4,5076SN
49,5688EC
112,5705CL
47,5721TZ
12,5651GL
9,5151WD
16,5482TK
30,5341GM
7,5731CC
5,5527CA
2,5581HE
195,5654AN
69,5401HA
6,5831WE
87,3445VV
53,5071RC
2,5349BV
4,5236TJ
4,5691GL
49,5688EC
78,5151HN
5,5384SW
13,5402HW
5,5408SZ
8,5521DE
45,5251LZ
55,5464PN
17,5741GK
1,5652LA
13,5441PB
2,5441PB
25,5845ET
15,5735KM
13,5346WK
25,5611AZ
5,5091BG
2,5595XH
2,5215MX
17,9645LZ
5,5753RL
14,5431NN
3,5632CW
2,5074PR
45,5712BA
21,5397GN
20,5754AE
5,5283PM
93,2627AT
50,4261BZ
59,3341LL
1,4283JL
5,5411NE
43,5014LT
9,5386EV
27,5221GS
2,5657ES
9,1118LP
14,5644HP
3,5397HA
9,5374CE
35,5651GK
2,5107RE
18,2411XD
36,5715PD
17,5215CS
14,4251GB
22,5076PZ
19,4264AT
113,5215AH
1,5151ST
30,5451NL
3,5343EV
45,5048AV
18,6026VH
199,5751KX
199,5751KX
19,5993SL
20,5482TG
26,5051DZ
8,5048AE
8,4825AZ
14,5126PT
45,5015BT
30,1118LB
41,3194AA
8,5111HJ
45,5015BT
9,5062AG
39,5091DH
483,5011SL
45,5015BT
13,5062TE
17,5071NC
14,5087MA
48,4631RM
51,4817BL
37,1101AH
6489,4836LH
28,5144NT
42,7961EA
51,5015BP
14,3991CS
29,1551ND
33,3194DA
19,4819AB
12,4251LR
14,5632AX
7,4921SH
39,4269VD
3,5145NP
5,5032MA
11,5032MP
4,5032MK
13,5047SX
62,4251XD
11,4921JL
229,3315NM
7,4283JE
7,4283JE
1,4251LR
5,5081EE
2,4856AC
86,5049NL
10,5145RG
43,4251NK
5,3161WE
19,4942VR
4,4251CR
18,4271XL
1,5048CD
11,4815NC
14,5121DC
9,6422PE
12,4251NL
45,5015BT
51,5021HK
44,2987VE
23,5161CD
53,4926ED
40,4706PB
1,4941TA
9,4931NA
29,5104JA
14,5158NJ
21,8251JP
23,4251NK
1,4251LK
7,5145PD
14,4283JG
3,5145NP
13,4251NZ
9,5141EP
12,5171PL
16,5145NE
6,4283GZ
26,4251XB
13,5317JS
151,4261AH
10,5151LM
10,4941DZ
26,5156CW
4,4926EG
5,4286LN
5,5145NA
12,6003DB
30,5651GG
1,5143EE
46,5658GD
6027,4836LA
41,4721AL
32,4671BG
5,4645HN
2,1118LK
15,4705RT
313,1431GB
11,3165AA
2,4283JH
14,4903PA
4,4761RL
545,4838ED
27,3045AX
2,4706PL
5,4903RJ
46,1505HH
2,4906AB
10,5928NL
1,4782SL
281,4835NC
3,4878AH
39,4705RG
6,4613BR
4,4706PN
1,4906CW
23,4706DP
6,4824AH
2,3286BT
32,4611HX
40,4707AG
11,4612RC
6,4703RB
49,4782PM
28,4782PM
28,4921PJ
24,4782SJ
6802,4836LK
19,4906CG
43,2984AN
36,4703RE
14,5087MA
32,4611HX
8,4782SG
14,4782PZ
59,4891XP
4,4661AP
26,4825BP
15,4705RT
45,4707AV
12,4791EZ
7,4703RE
93,4612PL
24,4705AA
2,4726SL
8,4847EX
6252,4836LG
22,4715TC
7,4703RE
8,4772PD
7,4704RK
7,3208LA
3,4909BL
4255,5503LM
41,4877LA
6389,4836LE
9,4782SM
12,4631NH
3,2181HG
193,4872LA
6,4782SK
2,2964AM
15,3316BB
6252,4836LG
6,4703RE
13,4631SR
48,3344AL
8,4651SZ
102,4702LC
5,4613BR
13,4751VK
33,4879NE
4,4791RN
28,4782PM
11,4611TS
19,4751XC
15,4703RG
9,4822PP
8,4641SH
13,4817BL
14,4903PA
28,4782PM
1,3115HG
9,4731TV
84,3084CB
57,4824BW
5,4891DZ
35,4761VH
5102,4814RN
200,1097JB
6,4782SK
151,3194DC
19,4906CV
258,4871LA
97,4707SH
1,4891BC
3,4906CJ
60,4706PB
37,4906CX
48,4708AL
39,4611HC
34,4871DC
2,5404ND
6041,4836LA
3,4611AP
106,3087AJ
19,4671JL
1,4782SL
2,4726SL
15,5145NP
6519,4836LD
36,4703RE
10,4791BE
2,4817ZR
76,5015BM
12,4791RM
6452,4836LH
41,4854AG
9,4661TW
920,1013BD
83,4651CC
1,4905BM
5,4825AZ
6,4782SK
14,4815PJ
106,3087AJ
32,4671BG
322,4834CP
52,4871JG
94,2984AB
44,4705RR
40,4611AL
15,4705RT
35,4704RG
27,4706JX
2,4612RC
39,4611HC
13,4905BK
50,4724SG
14,4645RB
1,3161GM
5,4711ND
1,4791HS
6802,4836LK
108,4902NS
10,4813HK
2,4389PH
40,4341MN
78,4871BP
15,4782PP
40,5062AE
10,5111HH
23,4904HV
10,4818AA
36,4844AK
8,6662DC
3,2984BB
1,4782SB
10,4907AD
4,4761RL
50,5928SC
1,5807EJ
42,5928SC
5,7041GD
30,6199AN
3,4551LA
30,4612PS
18,6199AB
31,1047HD
7,7041KK
8,4844PK
98,4708AM
19,4401NC
56,4703HA
15,2153PH
27,4782PV
18,4251NS
74,5145PW
150,5026RH
2,4871EB
7,4338PG
11,4761RG
6045,4836LA
26,4906CX
95,3072AP
26,4461XM
11,4641SK
63,4814TT
4,4782SK
1,4538AV
8,4538BL
4,4551LA
23,4538BV
112,4511PA
1,4551BV
2,4551MC
1,4538AA
17,4822NJ
17,4822NJ
14,4421PW
14,4421PW
24,4501BD
18,4538AH
17,4511AN
16,4587RA
14,4421PW
4,4527PA
14,4567BR
102,4511GP
44,4501PA
17,4822NJ
17,4822NJ
1,4542PM
1,4511HW
8,4417ER
12,4389PC
15,4455RZ
7,4301CV
5,3315DA
93,4381EV
6,4493PK
12,4401HZ
12,4401HZ
2,4424AA
4,4384KL
2,4455SZ
12,4401HZ
21,4387PL
12,4704RK
35,4389PC
1,4542PM
11,4542PS
17,4822NJ
17,4822NJ
1,4538AA
2,4612RC
24,4501LA
1,4542PM
4,6942DJ
10,4315CA
499,4389PA
33,4389PC
33,4389PC
2,4538BG
3,4455SZ
5,4511PA
33,4389PC
8,4538BL
7,4461AP
2,4455TM
8,4538BL
2,4389PJ
10,5928NL
497,4389PA
70,3197KG
2,4524BV
1212,1081LA
17,4822NJ
21,4527BD
88,1781AK
12,4401CG
9,4531EA
23,5126PR
4,4464JE
102,3062ME
434,2497TM
2,4455TE
7,4331NV
12,4401HZ
748,4382AC
7,3016CJ
1,4382NA
21,3042CH
22,2993LD
6,4207HZ
20,3244BH
175,3316AS
35,4781AH
8,3356LE
182,3331ML
182,3331ML
8,3286BW
88,3261AL
22,4175LS
5,3299AL
7,2995TP
141,3362SC
3,4131NT
11,3316BD
8,3267BD
250,3316LC
155,2957TD
13,3361HJ
100,3316AZ
68,3079JW
211,2952DC
32,3356LX
17,2953HC
25,3355ER
30,3355ES
6520,4836LD
110,4691TA
3,3311DH
120,3311PE
79,3328EC
160,3331MA
79,3328EC
86,3316GS
50,3316LE
77,3311TH
13,3161HK
428,3356XM
1,4283HP
24,2984AG
131,3734EE
150,3331MA
8,4231VH
53,3356LD
4,2971VJ
34,3016BC
56,3241LR
38,2954LD
2,3316GN
14,3297WB
5,3316BR
30,3311AW
1,3295LJ
16,5443PR
65,5685GB
10,3313ES
19,3089JH
30,3311AW
211,2952DC
466,3331LK
61,4207CD
16,2742MT
288,3072MK
9,4782SC
189,3111AJ
268,3331ML
45,3315BP
7,4131NJ
2,3344EM
27,3381KA
167,3351HM
15,4104AL
2,1118LK
84,2992XC
130,3012NC
1,3161GM
7,3342GS
18,2992SR
8,3286BW
6,3291CN
14,3316EL
7,2951TJ
5,4791VC
4,3011BT
1,3088GN
101,3198LC
8,1044AB
30,4906CX
1,3197LK
875,3199LD
68,3029AS
14,3011KA
71,3311JG
556,2263XZ
6,4824AE
1,5986PK
12,5928PZ
71,6716AE
10,7575DA
65,3089JW
300,1438AN
37,4389PC
6,6199AD
24,1078GZ
1,5032ML
5,5032MH
4,5032MK
31,5047RM
1,5928SG
4,5032MJ
6,3521AL
10,3084BA
7,2991LS
10,3089JC
20,3047AL
14,3088EB
199,3199KA
75,3198LS
19,3089JH
77,3087BM
28,3331MK
15,3316BB
93,3072AP
17,2404CB
2,9601MC
135,3194AB
2,3161WD
12,2678AG
2,3161WD
270,3011XZ
8,1013BL
83,3316AK
20,3176PD
23,3115HC
21,3115HC
11,3055LA
62,3113BD
4,3331LL
77,3087BM
35,3047BL
8,1118LB
11,3197LG
3,3208LA
20,3029BE
30,2132MR
342,3012NJ
11,3208KH
1,3088GN
12,3088HH
40,3077AL
164,3194AM
81,3165AM
161,3071NR
50,2987VE
21,3089JH
8,3133KT
2,3161WD
815,1077XX
4,4782PP
44,3062SH
270,3011XZ
2,3016BB
107,3088GC
1,3088GN
15,3195KN
58,3089KC
5,3016CK
89,3316AK
6,5928LE
41,3165AM
1,1437EP
20,3176PD
159,3192NB
56,3311TH
398,2983GS
44,3197KJ
182,2901HC
41,3012KD
35,3024EA
1,1437EM
1,4782SM
313,1431GB
5,3196KC
40,1118LD
65,1118LN
50,1951NE
4,3161GL
8,2984BM
9,3199KD
20,3176PD
77,3087BM
42,2909LE
4,1044AE
77,3087BM
45,3012CA
30,3311GX
3,3011RR
85,3081AB
7,3161GR
155,3087AG
42,3011XS
20,3176PD
12,2491BG
10,3016CK
3,2984BB
111,2132LS
268,3197KV
190,3011KD
46,3194AC
45,3013AK
130,3062MB
4,3087BL
5,3161WE
57,3088GB
200,3316KE
26,3241LS
1,3247CP
3,3011WG
505,3013AL
1,3161GM
5,3214VR
85,3081AB
118,3037GL
2,2651LV
67,1438BD
30,3062ME
30,3196KD
8,1013BL
30,3196KD
6,4782SK
8,2984BG
742,2909VA
742,2909VA
65,2908LV
100,3062MB
2,3198LG
11,3088HG
8,3115JE
20,2984AT
136,2983GM
211,3081JN
910,3199LC
40,3011XB
65,2908LV
53,2992LC
21,3089JH
144,4818CP
20,3176PD
350,3331MC
9,3237MG
45,2803PE
13,3361HJ
26,3087BP
13,4389PC
134,3055KL
7,3161GR
30,3196KD
5,3016CK
115,2909LE
806,9728BM
50,3197KG
742,2909VA
40,3079DN
15,3161GN
2,4791RN
1,3161GH
742,2909VA
95,3012KG
87,3198LB
30,3089KK
1,3208LA
2,3161WD
45,3012CA
31,3077AP
11,2803XR
9,3029BP
30,3089KK
15,3161GN
51,3161EB
5,3161WE
67,1505HJ
1,2909LK
6,4782SK
111,3087AE
3,2661TN
742,2909VA
505,3013AL
30,3089KK
2,3016BB
35,4472BA
20,3176PD
4,2803XP
7,3087CC
228,3065WB
40,3011XB
24,6222NE
1,2909LK
42,3088HD
5,4631SM
4,3083HH
2,2904SC
21,4389PC
5,2993LD
171,3012BB
190,3011KD
43,2984AN
211,3081JN
35,3366BM
1,1118LK
378,2983GS
1,1135GB
2,1119NV
10,4782PM
22,3011TA
170,3197KV
270,3011XZ
2,3261KN
30,3016BC
38,2991WD
20,3062MB
11,1118EE
59,3088GB
59,3088GB
52,2987VE
2,3165AL
8,3199LW
94,3199KZ
10,3199KR
17,9936BP
8,2994LD
37,3011AA
119,3071NK
1,2909LK
1,4782SE
26,2991LH
6,3016BD
7,3161GR
126,3342LG
97,3022CB
6,3059SR
85,3087BM
35,5928PH
1,3165AM
27,2719KL
1,4455TT
42,3011XS
742,2909VA
31,3077AP
101,2771DS
86,3197LH
1,2908LH
41,3194AA
35,4782PM
148,3331MA
95,3012KG
211,3081JN
268,3201LW
2,3016BB
127,3087AE
2,6541BW
9,3125BS
7,5986PM
3,5986PM
15,5628WB
32,5651GG
5,5684PB
20,4622RD
8,8263CG
8,8013RC
20,6121RE
1,4751XK
2,3433KN
3140,6604LV
3142,6604LV
3,3088HE
34,2991LR
16,3223PA
12,3088HH
5,3161WE
5,2992KB
61,3088GB
30,2404BR
56,3014ZS
107,2511DP
28,2984CD
22,1119NS
372,2983GR
46,3316BP
17,3055WV
2,3341GX
47,3087BW
2,3165AL
18,3261PX
20,3356LK
32,3331ML
12,3088HH
215,1119PD
16,9217RN
700,3083AS
77,3087BM
27,5651GG
2,3905NN
38,5804CD
5,3161WE
2,3161WD
19,3089JH
11,3165AA
44,5048AN
3,3195ND
30,3209BK
25,3223TL
31,3121XJ
6,3087AN
48,3708ZS
23,3114HC
13,3161HK
10,1044AB
20,4453VJ
12,3044CA
11,3012VG
12,3088HH
30,3016BC
8,9979XJ
21,3089JH
102,2661CV
186,3021DM
10,3221CB
52,5928PR
31,4765BH
155,3087AG
365,1437CG
85,3081AB
14,3233AM
700,3083AS
3,3208LA
10,5928NL
85,3088GE
1,4782SL
499,4389PA
16,5916RP
24,6199AC
4,6921RZ
28,7587GA
17,9645LZ
15,3016DE
15,3161GN
17,3201EJ
8,3011KA
53,3171EB
147,3036HJ
16,2984BA
106,3087AJ
2,3161WD
200,3073GR
560,3084CB
560,3084CB
560,3084CB
14,3011KA
1,2908LH
2,3194DE
7,3051BP
34,3074JB
10,3016CK
5,3161GR
35,3121XB
20,2661CP
253,2901LB
21,3089JH
7,3016CL
15,3197LG
62,3125AE
10,5928NL
78,3088HD
48,3088HJ
10,3194DJ
236,3067GJ
54,2992XC
22,1013BL
62,3125AE
8,3232HE
74,2992SR
33,3194AR
41,2992LB
700,3083AS
12,5171GB
48,3088HJ
20,3176PD
83,3072AP
66,3361HS
42,3201AB
170,3197KV
231,2902XE
17,7483PG
240,3197KV
10,2984BT
40,3011TA
64,2992XC
12,3088HH
50,3144EG
8,3135CD
60,3233SE
24,2984AN
18,3125AN
57,2992SB
30,4782PM
1,4761VD
4,3331EE
5,3197KL
3,3208LA
21,3089JH
4,3198LH
1,3199LL
24,3133LA
3,3133KT
33,3047BL
19,3134KG
7,3208LA
33,3131KZ
4,3197KJ
12,5657EN
50,1118LB
2,3045AK
9,4731TV
61,3088ED
28,3208KH
37,3181HK
5,2992KB
10,4617NX
35,3231AR
14,3232BP
2,3201AX
3,3198LR
84,3197LH
20,3197LE
24,3133LA
2,3261KN
12,3088HH
219,1118BH
95,3012KG
75,3196KH
98,3044BB
53,3088ED
1,2921LA
27,2676LM
25,2676LM
4,3087BL
57,3088GB
48,3088HJ
218,3012KP
216,3012KP
40,2991XV
3,3142GD
43,3089JD
177,3027BJ
33,2988BA
20,3281NG
6,4794SN
2,3281LS
5,4041AC
74,2992SR
20,3176PD
50,3161KG
61,3077AG
29,3161GJ
19,3089JH
52,2987VE
10,3021BN
33,2903LR
34,2952AS
19,3089JH
10,4455TE
6,3233CH
1,3208KP
75,2925VB
45,3012CA
110,2913LV
60,3079DN
115,2909LE
30,3137DL
26,3035GD
19,3089JH
2,2988CM
77,3087BM
24,3133LA
190,3011KD
190,3011KD
190,3011KD
173,3194DC
17,3088HG
186,3021DM
161,3071NR
52,2987VE
301,3222KE
14,3088EB
365,1437CG
14,3088EB
2,3133KW
2,2132WS
74,3041JA
13,3161HK
12,3088HH
30,3355ES
142,3331MA
21,3089JH
9,3134LV
17,2984BT
11,3165AA
25,3133KJ
118,3198LS
5,3047BR
21,2681NN
13,3065PE
63,3088GB
62,3161VG
14,2993PX
2,3208KH
30,3089KK
62,3621BR
1,2987AG
28,2984CD
50,3197KG
13,3161HK
24,3088HE
35,3053JR
106,3311NZ
14,3088EB
5,3161WE
40,2761JP
13,3161HK
3,2984BB
7,3016CL
20,3176PD
20,3176PD
29,3165AA
7,3161GR
10,3016CK
77,3087BM
107,2925EK
116,3012NC
1,3161GM
20,3311JD
2,3165AL
13,3171NC
2,3016BB
2,3016BB
2,3016BB
21,3089JH
20,3281NG
6,4794SN
21,3089JH
21,3089JH
5,3196KC
37,1118LA
3,1786PB
42,3133EN
2,3165AL
2,3194AP
45,3013AK
4,3045PV
9,2992SP
16,2994LD
46,4824AC
204,3197KV
48,3088HJ
41,3194AA
205,3027HV
81,3197LG
16,3088HC
2,3161WD
109,3081BJ
8,4782SC
83,3072AP
116,3063GD
180,3012KN
2,4791RN
10,3016CK
32,3832RC
27,3252LA
16,3161ED
202,1118LN
7,3016DE
3,3208LA
291,3328SV
117,3087BK
226,3331ML
39,1602ML
20,3176PD
2,2676LL
2,3281NB
5,3016CK
