HUISNR,PC
71,8700AB
66,7390AB
202,7500AE
21,7630AA
6,3628AC
22,3771VT
28,7576EM
1,7556BP
33,8162XS
7,6921EW
17,7577JC
282,3880AG
34,8097SG
21,8242PE
156,7604BP
100,7554NB
101,3066GS
1,7491EZ
12,7312EH
40,7609SJ
22,3846BN
15,7621AX
4,7604BL
766,2132NM
53,7547TE
8,7391TW
3,7251LH
37,8081HB
14,7671NE
46,7671RE
1115,7301BJ
263,1792CJ
6,4043JD
11,8160AA
16,7611AG
16,3888MV
12,8162ET
1050,3160AG
2044,7420AA
14,8051KW
150,7544VV
99,7241MB
20,3774RA
8,7418BG
383,7300AJ
371,7460AJ
6,2033DA
101,7202CA
18,7547TB
64,3853TK
3,3785KX
23,7575AR
161,7770AD
2,7623CS
133,3771MA
18,6961PJ
37,7481RS
6,7631JC
25,7421ET
25,7421ET
9,8011RT
10,7521BE
1,7460AA
22,7554TX
9,3881LW
9,7597MD
40,7707ZG
13,1135GG
9,7041GX
89,6827AL
99,7040AB
22,5521DZ
53,5521DZ
74,6831AJ
45,6980AA
11,6673DP
187,6900AD
230,7040AE
57,3770AB
15,8255RN
19,6921RE
21,3770AA
65,6922JA
5,6909DZ
13,2950AA
43,6921RE
19,3774RA
501,7000AM
78,6902PK
1,6931SG
109,3771MA
3,3959BE
135,2131AR
2104,5600CC
7,5986PM
33,3771MA
1006,6920BA
23,7122ME
41,6666WS
760,2130AT
18,7040AA
18,7040AA
45,6980AA
45,6980AA
109,6843PP
90,6590AB
63,7040AB
54142,3008JC
21,6901JV
78,1412JL
2,7122NR
21,6691CT
6,7047CA
19,7031HH
4,7041BM
6,6640AA
104,6900AC
12,6915VJ
47,7256AA
14,6902PR
47,7100AA
26,6921GW
130,2678AG
194,6814GK
31,4879NE
2,2652XT
20,1047BM
2,7942KE
718,6710BS
44,7461AE
302,5680AH
2,9482WH
15,8501XJ
302,5680AH
1410,5688HA
46,9460AA
17,6996AA
89,6602DD
3,6581KX
540,7400AM
8,6121RE
18,7040AA
5,7047CC
2031,6536JK
211,6600AE
69,6828CD
4,6644BT
9,6611KA
45,6980AA
45,6980AA
8,6921RE
8,6921RE
58,6902PK
8,3991CS
43,7075ED
55,6681CW
3,6744PK
40119,6504AC
1154,6546AS
40070,6504AB
2162,6604LG
55,7131XL
2,6741HC
5,6716KC
117,6542JD
6,6544XK
2,6942SG
93,6733AD
1,6521BA
19,6957AB
40119,6504AC
17,6902PB
13,2950AA
38,6711HD
445,7535AZ
11,6731CL
50,6871XH
1105,6546AR
51,6741WJ
57,6524HV
9121,6537KJ
25,2526TM
8,6741EH
2414,6604LL
578,6710BN
21,6732GH
18,7037AB
51,6668CA
1014,6546BA
5,6744XA
136,6466GR
1,6525VK
28,6675AS
30,6661XG
4,6916ZG
10,6827BD
114,6601JD
47,7060AA
14,4033KN
24,6921RW
78,7051WS
2,9414TN
308,6541CD
46,7391ME
24,7418EW
63,6811HC
15,6641EL
7,7271LC
110,6814KN
40,7040AA
9,6644AR
79,6921RZ
10,6551AD
10,6731EK
17,6616AV
4,6545AG
18,6960AA
27,6987EA
27,4143BR
2,6718XA
10,4401EZ
26,6523LC
2,7007CN
9,6602ET
16,6673DV
2,6611BP
5,7061AA
1,7102EM
7308,5692HH
43,6603AV
14,6718XT
36,5234GM
29,6621BV
7946,6601RP
1012,3860BA
6729,6503GE
5,6611AH
74,6603BR
30,6602AV
40,6681LN
45,7091VJ
7,4941VX
102,6524MJ
19,6500AA
5,6581HN
10,6551DP
8761,5605LT
21,6604BT
41,4001XA
1,4104BC
67,5327AB
1,4152GC
26,4119LZ
41,5262GD
21,5308KD
125,4100AC
40,4013CS
29,4032NA
3,5320AA
24,4033BK
8,5324DD
31,5301LX
302,1082ME
61,3371SX
9,4191NZ
3,5311PC
23,4196AK
1,4021CL
20,4051BW
4,4116CE
42,4211CC
46,5317KR
5,4001CH
11,3016GM
7,2952CA
32,1118LB
5,4043LZ
1,4241XS
5322,3008AH
1,4191HE
4,4116CE
15,6669CA
1,5320AA
2,6659BP
3017,5203DA
59,5900AB
43,5800MA
244,2142LE
1603,5860AA
3335,5902RH
3137,5902RC
127,3300AC
17,5932CS
3,5801RV
2,5911JJ
3231,5902RE
152,5928RH
10,5862AT
27,5900AA
12,5961PX
3151,5902RD
3071,5902RB
7,3195ND
51,6120AB
2,1118LK
59,5900AB
163,1075GX
32,5931BX
3250,5902RG
8,5964PE
3301,5902RH
182,5900AD
4,6598DL
6,5928LL
6,5928LL
6,5928LL
6,5928LL
6,5928LL
304,1017RN
3,5916LD
1,5986NT
63,5931HM
3078,5930AB
3071,5902RB
27,5922ED
19,5993SL
19,5993SL
15,5521DZ
5171,3008AD
5171,3008AD
5171,3008AD
25,3165AC
5171,3008AD
5171,3008AD
21,5975RZ
148,5900AC
414,5900AK
114,6590AC
3071,5902RB
3231,5902RE
35,5807ES
40,6081PH
10301,6000GH
8063,5901AB
1,5813BN
4,6041AV
4803,5953ZL
3177,5930AD
67,6065EM
36,5921JC
3078,5930AB
3313,5902RH
46,5912HR
10266,6000GG
8068,5901AB
30,6043RM
255,6100AG
18,6001SE
75,5911GG
16,6081CX
2,6067AA
49,5802CB
1,5928LL
8,6082BC
142,5913CR
21,6003DK
12,5912JL
2,6082BC
107,3088GC
4,6199AD
1220,6040KE
17,6019AA
62,6114ZH
37,6031AD
156,6006AC
10,6088PA
2,6082BC
2,6003DB
10301,6000GH
5155,3008AD
9,6121RE
2,6082BC
71,6014AD
10,6051CR
20,6002SM
120,6002SX
51,6031CS
33,6031CD
194,6181MA
12,6135KH
16,6333AP
12,6135KH
52,2987VE
37,6136AK
3071,5902RB
29,6460AA
45,6181DN
27,6442PB
10,6121PA
12,6411GM
28,6412PJ
7,4131LX
20,6361XN
54,6105BN
31,6199AC
57,6191RD
191,6413AE
56,6413AG
2,6941ST
3022,6460HA
128,6411HW
62,6343PC
13,6199AC
4,6411KS
2,6241EL
5,6291BC
70,6199AA
1,6461KB
6,6135JH
9,5991NP
11,5768PD
301,6130AH
24,6365ED
148,6181MA
16,6199AD
29,1118LA
1,2742RB
19,5928RX
9,6121RE
25,5928LA
2,6361GZ
2,6101XH
54,6051AV
51,6415GE
39,6433KC
90,6191EH
1,6235NS
3117,5902RC
24,6162KN
20,6229EE
73,6590AB
6,6464HM
83,5916PJ
281,6100AG
410,6181MD
1,6229PP
4302,6202VA
10,6301CK
10,6041XD
1,6247EM
224,1200AE
29,3257ZG
6,5349BG
6037,5700ES
75556,1118ZP
15,8028PS
111,3542AB
17,5347KR
17,5347KR
17,5347KR
17,5347KR
17,5347KR
30,5222BP
4,5411DK
15,5975RX
1,5347JM
17,5386ZG
272,5480AG
13,5427ES
24,3606AS
3189,3502GD
12,3542AC
40,5651GH
200,6600AE
2,5807GB
2,4751XN
7,6422PJ
149,5235EC
9,4261KC
9,5258LH
71145,1008BC
355,5340AJ
50,5340AB
17,5051AA
7,5469ER
15,6836GK
2,4143HM
163,2400AD
83,5411AT
5,5657EA
204,5530AE
100,5504RP
36,5715PD
2000,5657EX
102,1101CM
8509,5605KM
12,5651GL
12,5720AA
1225,1430BE
7,5555XN
75,5757BJ
2097,6020AB
7102,5692HC
55111,3008EC
4,5694NN
34,5401PE
106,5730AC
9,5627GA
83,5575AE
73,5554SX
53,5691BA
9,6026PX
290,5530AG
70,5421RV
12,5657EN
3053,3502GB
117,5680AC
616,5140AP
16,5145NS
616,5140AP
9,5047TM
48,5580AA
75,5450AB
165,5575AG
210,5201AE
210,5201AE
3,5626BK
2255,5600CG
1484,5602BL
2005,5260CA
6,6026VL
61,5240AB
1,5469ZG
3182,5902RD
10,5405BW
6,5253RL
6,5281PL
2,5595XH
244,5400AE
3,5156NL
611,5600AP
57,5657EA
6,5236WB
212,6881TP
208,5928RJ
611,5600AP
611,5600AP
3,5632CW
15,1431BA
22,5262SJ
75,5450AB
4,5076SN
49,5688EC
112,5705CL
47,5721TZ
12,5651GL
9,5151WD
16,5482TK
30,5341GM
7,5731CC
5,5527CA
2,5581HE
142,5060AC
69,5401HA
6,5831WE
87,3445VV
26,5070AA
2,5349BV
4,5236TJ
4,5691GL
49,5688EC
78,5151HN
5,5384SW
13,5402HW
5,5408SZ
8,5521DE
45,5251LZ
55,5464PN
17,5741GK
1,5652LA
13,5441PB
2,5441PB
25,5845ET
15,5735KM
13,5346WK
1715,5602BS
5,5091BG
2,5595XH
2,5215MX
11,9640AA
96,5750AB
14,5431NN
3,5632CW
2,5074PR
45,5712BA
21,5397GN
20,5754AE
5,5283PM
93,2627AT
50,4261BZ
59,3341LL
61,4286ZH
744,5400AS
43,5014LT
9,5386EV
27,5221GS
2,5657ES
9,1118LP
14,5644HP
3,5397HA
64,5374ZH
35,5651GK
2,5107RE
42,2410AA
36,5715PD
17,5215CS
14,4251GB
22,5076PZ
19,4264AT
113,5215AH
1,5151ST
30,5451NL
3,5343EV
45,5048AV
18,6026VH
199,5751KX
199,5751KX
19,5993SL
20,5482TG
26,5051DZ
8,5048AE
8,4825AZ
77,5126ZH
45,5015BT
30,1118LB
278,3190AG
8,5111HJ
542,5000AM
9,5062AG
39,5091DH
483,5011SL
45,5015BT
13,5062TE
117,5070AC
2,5087ZG
48,4631RM
51,4817BL
37,1101AH
6489,4836LH
28,5144NT
42,7961EA
501,5000AM
370,3990GD
29,1551ND
33,3194DA
19,4819AB
12,4251LR
14,5632AX
7,4921SH
39,4269VD
3,5145NP
4057,5004JB
11,5032MP
4,5032MK
13,5047SX
50,4250DB
11,4921JL
229,3315NM
7,4283JE
7,4283JE
1,4251LR
22,5080AA
2,4856AC
4121,5004JC
229,5140AE
43,4251NK
944,3160AC
19,4942VR
4,4251CR
18,4271XL
1,5048CD
11,4815NC
71,5120AB
9,6422PE
12,4251NL
45,5015BT
51,5021HK
3040,2980DA
23,5161CD
53,4926ED
142,4700AC
1,4941TA
58,4930AB
29,5104JA
10,5256ZG
21,8251JP
23,4251NK
1,4251LK
117,5145PB
14,4283JG
450,5140AL
13,4251NZ
457,5140AL
65,5170AB
16,5145NE
29,4284ZG
26,4251XB
13,5317JS
151,4261AH
10,5151LM
10,4941DZ
26,5156CW
4,4926EG
5,4286LN
5069,5004EB
12,6003DB
2104,5600CC
1,5143EE
46,5658GD
96,4890AB
41,4721AL
32,4671BG
5,4645ZG
2,1118LK
1086,4700BB
1086,4700BB
59063,3008PB
2,4283JH
14,4903PA
6086,4780LX
545,4838ED
27,3045AX
2,4706PL
5,4903RJ
166,1500ED
37,4900AA
27,5900AA
1,4782SL
281,4835NC
3,4878AH
39,4705RG
6,4613BR
4,4706PN
4132,4900CC
23,4706DP
6,4824AH
2,3286BT
32,4611HX
40,4707AG
11,4612RC
6,4703RB
49,4782PM
6063,4780LS
28,4921PJ
123,4790AC
6802,4836LK
19,4906CG
43,2984AN
1302,4700BH
2,5087ZG
32,4611HX
80,4780AB
14,4782PZ
112,4890AC
4,4661AP
26,4825BP
1086,4700BB
45,4707AV
12,4791EZ
1419,4700BK
72,4600AB
24,4705AA
2,4726SL
8,4847EX
6252,4836LG
22,4715TC
7,4703RE
8,4772PD
1507,4700BM
18,3200AA
3,4909BL
432,5500AK
41,4877LA
6389,4836LE
9,4782SM
12,4631NH
45,2180AA
193,4872LA
6,4782SK
46,2964ZG
15,3316BB
6252,4836LG
6,4703RE
13,4631SR
48,3344AL
8,4651SZ
102,4702LC
618,4600AP
13,4751VK
342,4870AH
28,4780AA
6063,4780LS
11,4611TS
19,4751XC
15,4703RG
9,4822PP
8,4641SH
13,4817BL
14,4903PA
28,4782PM
1,3115HG
9,4731TV
59174,3008PD
57,4824BW
5,4891DZ
35,4761VH
5102,4814RN
200,1097JB
70,4780AB
151,3194DC
4084,4900CB
258,4871LA
97,4707SH
141,4880AC
3,4906CJ
60,4706PB
37,4906CX
48,4708AL
719,4600AS
34,4871DC
71,5400AB
6041,4836LA
3,4611AP
106,3087AJ
19,4671JL
1,4782SL
2,4726SL
15,5145NP
6519,4836LD
1302,4700BH
10,4791BE
6034,4900HA
76,5015BM
12,4791RM
642,4870AP
41,4854AG
9,4661TW
920,1013BD
83,4651CC
237,4900AE
6578,4802HN
6,4782SK
3911,4800DX
106,3087AJ
32,4671BG
5650,4801EB
52,4871JG
94,2984AB
44,4705RR
40,4611AL
1086,4700BB
1563,4700BN
27,4706JX
18001,4601ZA
719,4600AS
664,4900AR
50,4724SG
23,4645ZG
285,3190AG
5,4711ND
20,4790AA
6802,4836LK
108,4902NS
10,4813HK
31,4330AA
40,4341MN
78,4871BP
15,4782PP
40,5062AE
10,5111HH
23,4904HV
9760,4801LW
36,4844AK
8,6662DC
9234,3007AE
1,4782SB
10,4907AD
6086,4780LX
3118,5902RC
5062,5800GB
6086,4780LX
5,7041GD
30,6199AN
3,4551LA
30,4612PS
18,6199AB
31,1047HD
7,7041KK
8,4844PK
98,4708AM
43,4400AA
1594,4700BN
15,2153PH
27,4782PV
18,4251NS
70,4860AB
368,5000AJ
2,4871EB
7,4338PG
11,4761RG
6045,4836LA
26,4906CX
95,3072AP
46,4420AA
51,4600AB
63,4814TT
6048,4780LA
189,4530AD
5,4530AA
86,4550AB
23,4538BV
112,4511PA
1,4550AA
1,4551MC
1082,4530GB
6400,4802HK
6400,4802HK
14,4421PW
14,4421PW
24,4501BD
18,4538AH
17,4511AN
16,4587RA
14,4421PW
0,
14,4567BR
102,4511GP
44,4501PA
6400,4802HK
6400,4802HK
1,4542PM
1,4511HW
6,4417ZG
5,4530AA
396,4380AJ
7,4301CV
908,3300AX
93,4381EV
39,4493ZG
12,4401HZ
12,4401HZ
2,4424AA
4,4384KL
2,4455SZ
12,4401HZ
21,4387PL
12,4704RK
35,4389PC
1,4542PM
114,4530AC
6400,4802HK
6400,4802HK
72,4530AB
18001,4601ZA
24,4501LA
1,4542PM
4,6942DJ
10,4315CA
220,4380AE
1057,4388ZH
1057,4388ZH
1200,4530GE
1200,4530GE
57,4510AB
1057,4388ZH
5,4530AA
7,4461AP
5,4530AA
5,4530AA
5,4530AA
27,5900AA
497,4389PA
70,3197KG
2,4524BV
1212,1081LA
6400,4802HK
21,4527BD
432,1780AK
12,4401CG
9,4531EA
5792,4801ED
4,4464JE
102,3062ME
37,4690AA
2,4455TE
7,4331NV
12,4401HZ
748,4382AC
23503,3001KM
1,4382NA
21,3042CH
22,2993LD
6,4207HZ
2,3244ZG
12,3300AA
35,4781AH
262,3360AG
182,3331ML
182,3331ML
7039,3286ZG
88,3261AL
22,4175ZG
5,3299AL
7,2995TP
141,3362SC
3,4131NT
11,3316BD
8,3267BD
250,3316LC
339,2980AH
257,3360AG
629,3300AP
68,3079JW
11,2950AA
32,3356LX
17,2953HC
279,3350AG
30,3355ES
6520,4836LD
110,4691TA
3,3311DH
120,3311PE
466,3300AL
160,3331MA
466,3300AL
86,3316GS
3088,3301DB
77,3311TH
1014,3160AE
428,3356XM
1,4283HP
24,2984AG
131,3734EE
150,3331MA
8,4231VH
230,3350AE
6,2970AA
34,3016BC
56,3241LR
124,2950AC
2,3316GN
14,3297WB
5,3316BR
617,3300AP
1,3295LJ
183,5430AD
65,5685GB
10,3313ES
59101,3008PC
617,3300AP
11,2950AA
466,3331LK
61,4207CD
16,2742MT
288,3072MK
6086,4780LX
189,3111AJ
268,3331ML
45,3315BP
7,4131NJ
2,3344EM
27,3381KA
167,3351HM
15,4104AL
75763,1118ZX
407,2990AK
130,3012NC
269,3190AG
7,3342GS
18,2992SR
7039,3286ZG
6,3291CN
14,3316EL
7,2951TJ
5,4791VC
23075,3001KB
1068,3000BB
101,3198LC
8,1044AB
30,4906CX
1,3197LK
7400,3000HK
68,3029AS
14,3011KA
166,3330AD
140,2260AC
6,4824AE
1,5986PK
3175,5902RD
314,6710BH
305,7570AH
59080,3008PB
75579,1118ZP
37,4389PC
6,6199AD
24,1078GZ
718,5000AS
718,5000AS
718,5000AS
31,5047RM
1,5928SG
4,5032MJ
6,3521AL
10,3084BA
99,2990AB
10,3089JC
6033,3002AA
5428,3008AK
199,3199KA
75,3198LS
59113,3008PC
59121,3008PC
28,3331MK
15,3316BB
93,3072AP
93,2400AB
59178,3008PD
575,3190AM
2,3161WD
12,2678AG
1049,3160AE
270,3011XZ
8273,1005AG
83,3316AK
149,3000AC
3070,3101EB
4334,3102GG
11,3055LA
62,3113BD
4,3331LL
54507,3008KA
12075,3004GB
8,1118LB
11,3197LG
425,3200AK
6150,3002AD
30,2132MR
342,3012NJ
11,3208KH
1068,3000BB
59069,3008PB
24150,3007DD
164,3194AM
59119,3008PC
161,3071NR
50,2987VE
5322,3008AH
76,3223XJ
1030,3160AE
815,1077XX
4,4782PP
44,3062SH
50,6222NW
1159,3000BD
107,3088GC
1,3088GN
607,3195ZG
5490,3008AL
23213,3001KE
89,3316AK
706,5900AS
41,3165AM
1,1437EP
149,3000AC
159,3192NB
56,3311TH
174,2980AD
44,3197KJ
182,2901HC
21059,3001AB
1294,3000BG
1,1437EM
6087,4780LX
1150,1430BD
5,3196KC
40,1118LD
75556,1118ZP
50,1951NE
4,3161GL
183,2980AD
9,3199KD
149,3000AC
5696,3008AR
23054,3001KB
4,1044AE
5696,3008AR
14,3000AA
120,3300AC
3,3011RR
59028,3008PA
244,3190AE
155,3087AG
42,3011XS
149,3000AC
12,2491BG
863,3000AW
3,2984BB
13000,1100KG
5155,3008AD
190,3011KD
46,3194AC
29072,3001GB
1546,3000BM
4,3087BL
5,3161WE
57,3088GB
200,3316KE
26,3241LS
1,3247CP
3,3011WG
676,3000AR
269,3190AG
5,3214VR
85,3081AB
118,3037GL
2,2651LV
75662,1118ZS
30,3062ME
966,3160AD
59167,1040KD
966,3160AD
75,4780AB
8,2984BG
1575,3000BN
1575,3000BN
5175,2900ED
29090,3001GB
1123,3180AC
11,3088HG
8,3115JE
20,2984AT
136,2983GM
211,3081JN
910,3199LC
240,3000DH
5175,2900ED
53,2992LC
54191,3008JD
144,4818CP
149,3000AC
350,3331MC
9,3237MG
45,2803PE
257,3360AG
26,3087BP
1031,4388ZG
134,3055KL
244,3190AE
966,3160AD
5,3016CK
490,2900AL
806,9728BM
497,4389PA
1575,3000BN
9140,3007AC
1050,3160AG
2,4791RN
1,3161GH
742,2909VA
95,3012KG
87,3198LB
54022,3008JA
18,3200AA
1030,3160AE
14,3000AA
31,3077AP
11,2803XR
6153,3002AD
30,3089KK
1050,3160AG
931,3160AC
968,3160AD
67,1505HJ
889,2900AW
77,4780AB
111,3087AE
21147,3001AC
742,2909VA
676,3000AR
54022,3008JA
1159,3000BD
35,4472BA
149,3000AC
4,2803XP
7,3087CC
5405,3008AK
40,3011XB
24,6222NE
889,2900AW
42,3088HD
89,4630AB
4,3083HH
2,2904SC
21,4389PC
485,2990AL
171,3012BB
190,3011KD
43,2984AN
211,3081JN
35,3366BM
7595,1118ZH
23,2980AA
1,1135GB
7595,1118ZH
10,4782PM
22,3011TA
170,3197KV
893,3000AW
1558,3260BB
30,3016BC
38,2991WD
20,3062MB
11,1118EE
59230,3008PE
59225,3008PE
52,2987VE
54142,3008JC
54142,3008JC
94,3199KZ
8,3199LW
17,9936BP
8,2994LD
30006,3001DA
9230,3007AE
889,2900AW
6092,4780LX
26,2991LH
23146,3001KC
244,3190AE
126,3342LG
97,3022CB
6,3059SR
59295,3008PG
35,5928PH
59090,3008PB
7059,2701AB
1,4455TT
23298,3001KG
1575,3000BN
31,3077AP
101,2771DS
45,3200AA
532,2900AM
41,3194AA
67,4780AB
148,3331MA
21032,3001AA
211,3081JN
268,3201LW
1159,3000BD
127,3087AE
40116,6504AC
9,3125BS
7,5986PM
7031,5980AA
15,5628WB
32,5651GG
5,5684PB
385,4600AJ
8,8263CG
8,8013RC
20,6121RE
1,4751XK
2,3433KN
3140,6604LV
3142,6604LV
59138,3008PC
14,2990AA
16,3223PA
59069,3008PB
968,3160AD
5,2992KB
53091,3008HB
93,2400AB
56,3014ZS
107,2511DP
286,2980AG
4185,2980GD
372,2983GR
46,3316BP
17,3055WV
2,3341GX
20,3087BD
581,3190AM
18,3261PX
43,3350AA
32,3331ML
59069,3008PB
215,1119PD
16,9217RN
700,3083AS
18,7040AA
2052,5600CB
262,3900AG
38,5804CD
2519,3170BA
2,3161WD
59113,3008PC
59063,3008PB
5034,5004EA
54003,3008JA
30,3209BK
25,3223TL
31,3121XJ
59087,3008PB
48,3708ZS
23,3114HC
1014,3160AE
10,1044AB
20,4453VJ
12,3044CA
19039,3001BA
59069,3008PB
30,3016BC
8,9979XJ
5322,3008AH
102,2661CV
1280,3000BG
170,3220AD
52,5928PR
31,4765BH
155,3087AG
7776,1118ZM
59028,3008PA
509,3233ZK
5204,3008AE
3,3208LA
27,5900AA
85,3088GE
1,4782SL
499,4389PA
16,5916RP
24,6199AC
4,6921RZ
28,7587GA
17,9645LZ
15,3016DE
1050,3160AG
196,3200AD
8,3011KA
216,2990AE
147,3036HJ
3008,2980DA
106,3087AJ
2,3161WD
200,3073GR
54088,3008JB
560,3084CB
560,3084CB
3061,3003AB
1,2908LH
620,3190AN
7,3051BP
34,3074JB
863,3000AW
5,3161GR
35,3121XB
20,2661CP
253,2901LB
5322,3008AH
23348,3001KH
15,3197LG
7070,3130JB
27,5900AA
78,3088HD
48,3088HJ
10,3194DJ
236,3067GJ
294,2990AG
22,1013BL
7070,3130JB
8,3232HE
395,2990AJ
33,3194AR
281,2990AG
700,3083AS
12,5171GB
48,3088HJ
149,3000AC
83,3072AP
66,3361HS
42,3201AB
170,3197KV
231,2902XE
17,7483PG
1250,3180AG
67,2980AB
50502,3007JA
487,2990AL
59069,3008PB
14,3140AA
8,3135CD
60,3233SE
24,2984AN
18,3125AN
57,2992SB
5,3016CK
1,4761VD
4,3331EE
1050,3180AB
5322,3008AH
5322,3008AH
5322,3008AH
5322,3008AH
67,3130AB
3,3133KT
12075,3004GB
226,3130AE
18,3200AA
218,3130AE
4,3197KJ
7190,5605JD
50,1118LB
2,3045AK
9,4731TV
61,3088ED
28,3208KH
1042,3180AA
5,2992KB
10,4617NX
35,3231AR
14,3232BP
45,3200AA
45,3200AA
45,3200AA
18,3200AA
67,3130AB
2,3261KN
59069,3008PB
219,1118BH
95,3012KG
59040,3008PA
98,3044BB
59172,3008PD
1,2921LA
50,2670AB
230,2670AE
55092,3008EB
57,3088GB
178,3335DE
218,3012KP
1555,3000BN
40,2991XV
3,3142GD
43,3089JD
23156,3001KD
4004,2980GA
33,2988BA
33,2988BA
33,2988BA
33,2988BA
2057,2990DB
149,3000AC
50,3161KG
61,3077AG
29,3161GJ
19,3089JH
4170,2980GD
10,3021BN
33,2903LR
34,2952AS
54261,3008JG
66,4380AB
6,3233CH
1,3208KP
75,2925VB
45,3012CA
643,2900AP
60,3079DN
120,2900AC
30,3137DL
26,3035GD
175,3190AD
2,2988CM
59121,3008PC
67,3130AB
190,3011KD
190,3011KD
190,3011KD
173,3190AD
17,3088HG
1280,3000BG
161,3071NR
52,2987VE
301,3222KE
14,3088EB
7776,1118ZM
14,3088EB
2,3133KW
2,2132WS
11142,3004EC
1014,3160AE
5163,3008AD
30,3355ES
142,3331MA
21,3089JH
9,3134LV
17,2984BT
59063,3008PB
39,3130AA
118,3198LS
5,3047BR
21,2681NN
13,3065PE
63,3088GB
62,3161VG
14,2993PX
2,3208KH
54534,3008KA
62,3621BR
1,2987AG
286,2980AG
497,4389PA
13,3161HK
59067,3008PB
35,3053JR
106,3311NZ
14,3088EB
968,3160AD
40,2761JP
1014,3160AE
9234,3007AE
23348,3001KH
20,3176PD
690,3000AR
29,3165AA
244,3190AE
863,3000AW
77,3087BM
107,2925EK
134,3012NC
269,3190AG
20,3311JD
54142,3008JC
13,3171NC
1159,3000BD
1159,3000BD
1159,3000BD
59001,3008PA
20,3281NG
6,4794SN
54191,3008JD
