DOSSIER,VGNUMMER,HN45,PCVA,STRAAT_VA,HUISNR_VA,TOEV_VA,PC_VA,PLAATS_VA,RV,URL,inOnderzoek,gebruiksdoel,oppervlakte,vbloStatus,C_HOOFDACT,NEVEN1,NEVEN2,reg_date,emp_class,inNiwo,inFenex
01087782,000019622244,Nesta Shipping B.V.,8861NS,Korte Lijnbaan,13,,8861NS,Harlingen,41,www.nesta.nl,0.0,kantoorfunctie,5568.0,in gebruik,H,H,M,2000-02-24,4,0,0
01088698,000007894325,Hs Carcleaning Joure,8517HA,Roazebosk,1,,8517HA,Scharsterbrug,1,,0.0,woonfunctie,118.0,in gebruik,G,H,H,2000-08-05,1,0,0
01089415,000003620964,Mico Transportmakelaar,8447EE,de Reling,19,,8447EE,Heerenveen,1,,0.0,woonfunctie,108.0,in gebruik,H,,,2000-07-20,2,0,0
01100930,000019594747,Pax Integrated Logistics B.V.,8501ZD,Leeuwarderweg,1,,8501ZD,Joure,41,,0.0,kantoorfunctie,2600.0,in gebruik,H,H,H,2003-08-09,5,0,1
01103873,000019145306,Kuhlman Repko Shipping B.V.,8861NX,Nieuwe Vissershaven,7,,8861NX,Harlingen,41,,0.0,kantoorfunctie,1185.0,in gebruik,H,,,2004-05-17,4,0,0
01103873,000043067735,Kuhlman Repko Shipping Amsterdam,1948ND,Lijndenweg,25,B,1948ND,Beverwijk,41,www.krshipping.nl,0.0,industriefunctie,290.0,in gebruik,H,,,2004-05-17,4,0,0
01107686,000014853191,W. Dijkstra Trading & Transportservices,9291CE,Voorstraat,91,,9291CE,Kollum,1,,0.0,woonfunctie,206.0,in gebruik,H,,,2005-03-14,2,0,0
01110543,000015663116,LogiVisi B.V.,8456GD,Meyerweg,121,,8456GD,De Knipe,41,,0.0,woonfunctie,167.0,in gebruik,H,H,,2005-10-13,6,0,0
01110680,000012857114,Stam Business Solutions,8746NH,Schoolstraat,12,,8746NH,Schraard,1,,0.0,woonfunctie,573.0,in gebruik,H,M,,2005-10-25,2,0,0
01113464,000015917630,Netwerk Support B.V.,2742RA,Containerweg,7,,2742RA,Waddinxveen,41,,0.0,industriefunctie,7254.0,in gebruik,H,,,2019-05-17,2,0,0
01114697,000005239958,A.S. Hoekstra,9024BD,Wielsterdyk,33,,9024BD,Weidum,11,,0.0,kantoorfunctie,2197.0,in gebruik,L,H,,2006-06-27,3,0,0
01119560,000018934102,Broekema Bulk,9035ED,Ljouwertertrekwei,30,C,9035ED,Dronryp,41,,0.0,overige gebruiksfunctie,425.0,in gebruik,H,,,2007-04-26,2,0,0
01119741,000001679597,Kiestra Transportbegeleiding,8621CP,Helling,66,,8621CP,Heeg,1,,0.0,woonfunctie,114.0,in gebruik,H,,,2007-08-05,2,0,0
01120522,000006086381,BTS Buskes Transport Service,8391AH,Nijverheidsstraat,6,,8391AH,Noordwolde,1,,0.0,woonfunctie,230.0,in gebruik,H,H,,2007-06-15,2,0,0
01124278,000017013852,Best Service B.V.,9723JE,Jeverweg,12,,9723JE,Groningen,41,,0.0,industriefunctie,5904.0,in gebruik,H,,,2007-12-28,1,0,0
01127043,000013728008,Logiplus B.V.,7921XC,Nieuwe Dijk,4,,7921XC,Zuidwolde,41,www.logiplus.nl,0.0,woonfunctie,165.0,in gebruik,H,,,2008-12-02,2,0,0
01128624,000004629248,P.H.S. B.V.,9936BP,Steenweg,13,,9936BP,Farmsum,41,,0.0,industriefunctie,11600.0,in gebruik,H,,,2008-03-13,4,0,0
01130950,000018702767,Aurora Marine Assist B.V.,9967RA,Raadhuisstraat,19,,9967RA,Eenrum,41,www.auroramarine.nl,0.0,woonfunctie,153.0,in gebruik,H,,,2008-04-28,2,0,0
01131995,000008964181,Brutrans,9611AM,Noorderstraat,60,,9611AM,Sappemeer,1,,0.0,woonfunctie,212.0,in gebruik,H,,,2008-05-26,2,0,0
01132984,000009908862,Wind Projects,1811CP,Oudegracht,168,,1811CP,Alkmaar,41,www.wind.nl,0.0,kantoorfunctie,188.0,ingetrokken,H,,,2017-09-03,4,0,0
01132984,000009908889,Wind Projects,1811CP,Oudegracht,164,,1811CP,Alkmaar,41,,0.0,kantoorfunctie,243.0,in gebruik,H,,,2017-09-03,4,0,0
01133410,000011870516,Harry de Kaste Logistiek-adviesbureau,8071TD,Meelzolder,16,,8071TD,Nunspeet,1,,0.0,woonfunctie,164.0,in gebruik,H,,,2019-05-02,2,0,0
01135167,000002830272,TeamTrade,8521NH,De Rijlst,4,a,8521NH,Sint Nicolaasga,1,www.teamtrade.nl,0.0,woonfunctie,250.0,in gebruik,G,C,H,2008-04-08,2,0,0
01136877,000002252309,Deklein Transro B.V.,9646EA,Albert Cuyplaan,3,,9646EA,Veendam,41,,0.0,woonfunctie,163.0,in gebruik,H,H,G,2008-11-09,2,1,0
01141336,000016311728,Navigia Chartering,9735AD,Eenrumermaar,2,,9735AD,Groningen,41,,0.0,kantoorfunctie,1156.0,in gebruik,H,,,2008-12-24,1,0,0
01141358,000015788199,Bulk Chartering B.V.,9735AD,Eenrumermaar,2,,9735AD,Groningen,41,,0.0,kantoorfunctie,1156.0,in gebruik,H,,,2008-12-24,1,0,0
01141992,000014378914,DVT Marum B.V.,9351SG,Wolveschansdreef,16,,9351SG,Leek,41,,0.0,woonfunctie,154.0,in gebruik,H,H,,2008-12-31,1,0,0
01142006,000020235615,ColliCare Logistics B.V.,9744TS,Manchesterweg,101,,9744TS,Groningen,41,www.collicare.com,0.0,industriefunctie,3027.0,in gebruik,H,,,2008-12-31,6,0,0
01142192,000008956472,H&H Seegers,7958VA,De Berken,2,,7958VA,Koekange,1,,0.0,woonfunctie,149.0,in gebruik,H,,,2009-02-01,3,1,0
01143010,000001711687,Asser Speciaal Transportbegeleiding Hagen,9403VX,Pottenbakkerstraat,39,D,9403VX,Assen,1,www.astbhagen.nl,0.0,industriefunctie,300.0,in gebruik,H,F,,2009-12-01,2,0,0
01143448,000019407637,Erenpack B.V.,9731AK,Timpweg,7,,9731AK,Groningen,41,,0.0,industriefunctie,1980.0,in gebruik,H,,,2009-01-16,1,0,0
01146382,000007130635,NedNor,9727AH,Peizerweg,87,f,9727AH,Groningen,41,www.longship.com,0.0,kantoorfunctie,173.0,in gebruik,H,,,2009-02-27,5,0,0
01146594,000001710850,Hazekamp Logistiek,9744DS,Ben Walrechtstraat,11,,9744DS,Groningen,1,,0.0,woonfunctie,153.0,in gebruik,H,N,,2009-03-03,2,0,0
01148103,000014602822,Hobbenschot Juridische Diensten,6721JJ,Dorpsstraat,39,A,6721JJ,Bennekom,1,www.hobbenschotjuridischediensten.nl,0.0,woonfunctie,85.0,in gebruik,H,M,,2019-08-02,2,0,0
01152587,000009666567,de Vries Advies,9635AC,Plantsoenlaan,18,,9635AC,Noordbroek,1,,0.0,woonfunctie,103.0,in gebruik,H,,,2009-12-05,2,0,0
01156815,000002888386,De Steenarend,9288XJ,Oastkern,12,,9288XJ,Kootstertille,11,www.oudgebakkenbestrating.nl,0.0,industriefunctie,27.0,in gebruik,G,H,H,2009-06-24,3,1,0
01157577,000015928713,Vadem B.V.,9001KE,Prinses Wilhelminastraat,12,,9001KE,Grou,41,,0.0,woonfunctie,115.0,in gebruik,M,M,H,2009-01-07,1,0,0
01160332,000011222409,Petit Beheer B.V.,9672BH,Papierbaan,90,,9672BH,Winschoten,41,,0.0,industriefunctie,802.0,in gebruik,H,K,,2009-10-08,1,1,0
01162647,000016510070,HFM V.O.F.,9728VP,J. Wagenaarstraat,26,,9728VP,Groningen,11,,0.0,woonfunctie,135.0,in gebruik,M,M,H,2009-09-16,2,1,0
01163603,000011291893,Monique Bouma Campermakelaar Friesland,8501SC,Skou,32,,8501SC,Joure,1,www.motorhomedepot.nl,0.0,woonfunctie,123.0,in gebruik,H,,,2009-01-10,2,0,0
01169265,000012760765,EurAm Teclog B.V.,9671CA,Burg Schönfeldplein,13,,9671CA,Winschoten,41,,0.0,kantoorfunctie,605.0,in gebruik,H,,,2009-11-17,1,0,0
01174264,000010126015,Multiservice Compact,9363BJ,Spoorstraat,16,,9363BJ,Marum,1,,0.0,woonfunctie,109.0,in gebruik,H,F,,2010-02-02,2,0,0
01178826,000011176342,Gerben Zijlstra,8822WV,It Koekoekslân,15,,8822WV,Arum,1,www.dsa-express.nl,0.0,woonfunctie,173.0,in gebruik,H,,,2010-12-03,2,0,0
01180387,000036002259,B&S GTC Customs B.V.,3208LJ,Lorentzweg,6,,3208LJ,Spijkenisse,41,www.bs-gg.com,0.0,industriefunctie,13200.0,in gebruik,H,,,2010-04-27,4,0,0
01181508,000019956339,Rivium Chartering B.V.,2909LE,Rivium 1e straat,42,,2909LE,Capelle aan den IJssel,41,,0.0,kantoorfunctie,1511.0,in gebruik,H,,,2011-06-22,3,0,0
01182326,000008167540,Van der Veen Logistieke Dienstverlening,7843RM,Steenbakkersweg,7,348,7843RM,Erm,1,,0.0,logiesfunctie,56.0,in gebruik,H,H,,,3,0,0
02013984,000012683981,Expeditiebedrijf H. Nijdam B.V.,9727AJ,Peizerweg,99,,9727AJ,Groningen,41,,0.0,woonfunctie,194.0,in gebruik,H,H,H,1945-05-22,6,0,0
02024262,000017574013,Carisbrooke Chartering B.V.,3311JG,Burg de Raadtsingel,71,B,3311JG,Dordrecht,41,,0.0,kantoorfunctie,325.0,in gebruik,H,H,K,2005-04-03,1,0,0
02034830,000019877773,A.G. EMS Nederland B.V.,9979XX,Borkumkade,1,,9979XX,Eemshaven,41,www.borkumlijn.nl,0.0,overige gebruiksfunctie,16.0,ingetrokken,H,H,G,1978-12-06,4,0,0
02037216,000015118355,Brinkman Chartering Groningen B.V.,9724AD,Zuiderpark,7,,9724AD,Groningen,41,,0.0,woonfunctie,381.0,in gebruik,H,G,,1985-12-04,1,0,0
02042467,000018190324,Heitrans B.V.,9974SL,Panserweg,14,,9974SL,Zoutkamp,41,,0.0,industriefunctie,66500.0,in gebruik (niet ingemeten),H,H,,,1,0,0
02042689,000018809375,Wagenborg Warehousing,9934CK,Marktstraat,10,,9934CK,Delfzijl,41,www.reining.nl,0.0,woonfunctie,261.0,in gebruik,H,L,,1986-12-15,5,0,0
02042689,000018809650,Wagenborg Warehousing,9601KL,Vredenburgweg,3,,9601KL,Hoogezand,41,,0.0,industriefunctie,5147.0,in gebruik,H,H,,1986-12-15,5,0,0
02045732,000020111282,B & S Global Transit Center B.V.,3316EE,Rijksstraatweg,7,,3316EE,Dordrecht,41,www.globaltransitcenter.com,0.0,kantoorfunctie,14060.0,in gebruik,H,,,1999-12-29,7,0,0
02045732,000024845523,Global Transit Center,3208LJ,Lorentzweg,6,,3208LJ,Spijkenisse,41,,0.0,industriefunctie,13200.0,in gebruik,H,,,1999-12-29,7,0,0
02046812,000003036642,Scheepvaartbedrijf Van der Wal,9934RS,Midscheeps,46,,9934RS,Delfzijl,1,,0.0,woonfunctie,196.0,in gebruik,H,H,,1990-02-27,3,0,0
02047399,000018778909,Vesta Service B.V.,9727AK,Peizerweg,74,,9727AK,Groningen,41,,0.0,winkelfunctie,20352.0,in gebruik,H,G,,1990-08-28,6,0,0
02050214,000018535593,Wegtransport Groningen B.V.,9753TA,Felland,5,,9753TA,Haren Gn,41,,0.0,winkelfunctie,642.0,in gebruik,H,,,1992-08-13,2,0,0
02051700,000017156092,Oostland Logistics B.V.,9615TH,A. Plesmanlaan,6,,9615TH,Kolham,41,,0.0,industriefunctie,4963.0,in gebruik,H,H,G,1993-05-28,5,1,0
02052502,000009353445,Frank Transport B.V.,9727AJ,Peizerweg,99,,9727AJ,Groningen,41,,0.0,woonfunctie,194.0,in gebruik,H,H,,1993-04-11,5,1,0
02052628,000019316836,Nijdam Logistiek B.V.,9727AP,Peizerweg,144,B,9727AP,Groningen,41,,0.0,woonfunctie,80.0,in gebruik,H,H,,1993-02-12,5,1,0
02053752,000018330460,F.D. Transport B.V.,6541DC,Bedrijfsweg,8,,6541DC,Nijmegen,41,,0.0,kantoorfunctie,1348.0,in gebruik,H,H,,2005-05-08,1,0,0
02059923,000016529545,Jpb Logistics B.V.,9936TG,Warvenweg,20,,9936TG,Farmsum,41,,0.0,industriefunctie,2212.0,in gebruik,H,E,H,1997-03-27,1,0,0
02059923,000030019818,JPB Logistics B.V.,9936HD,Oosterhorn,10,,9936HD,Farmsum,41,,0.0,kantoorfunctie,972.0,in gebruik,H,E,,1997-03-27,1,0,0
02060999,000019905335,Meijer's Logistics Emmen B.V.,9628CP,Hoofdweg,44,,9628CP,Siddeburen,41,,0.0,industriefunctie,638.0,in gebruik,H,,,1997-09-25,1,0,0
02063823,000016927680,NVO Trailer B.V.,9636HW,Weg der Verenigde Naties,22,,9636HW,Zuidbroek,41,,0.0,industriefunctie,4400.0,in gebruik,H,,,1998-04-08,2,0,0
02063825,000017431344,NVO Transport B.V.,9636HW,Weg der Verenigde Naties,22,,9636HW,Zuidbroek,41,www.nvobv.nl,0.0,industriefunctie,4400.0,in gebruik,H,,,1998-04-08,5,0,0
02065462,000020238738,Wagenborg Projects & Logistics B.V.,9934CK,Marktstraat,10,,9934CK,Delfzijl,41,,0.0,woonfunctie,261.0,in gebruik,H,,,1999-08-02,3,0,1
02067502,000019540957,Joh. Friedrich Dirks B.V.,9671CA,Burg Schönfeldplein,13,,9671CA,Winschoten,41,,0.0,kantoorfunctie,605.0,in gebruik,H,,,1999-09-23,3,0,0
02067673,000010378294,Transportservice R.A. van der Ploeg,9728CG,Laan van de Vrede,125,,9728CG,Groningen,1,,0.0,woonfunctie,89.0,in gebruik,H,,,1999-11-10,2,1,0
02069296,000005023742,Douma Transport en Logistiek,9649HW,Middenweg,52,,9649HW,Muntendam,1,,0.0,woonfunctie,158.0,in gebruik,H,N,G,2000-03-17,2,0,0
02073410,000002610795,Zend B.V.,9649HW,Middenweg,52,,9649HW,Muntendam,41,,0.0,woonfunctie,158.0,in gebruik,N,H,H,2001-10-04,5,1,0
02074996,000017811538,Logi . Span Logistiek B.V.,9951SJ,Het Aanleg,21,,9951SJ,Winsum,41,,0.0,industriefunctie,1244.0,in gebruik,H,,,2001-09-24,3,1,0
02080006,000013734598,Reina Trans,9943PC,Hamrikkerweg,96,A,9943PC,Nieuw Scheemda,1,,0.0,woonfunctie,101.0,in gebruik,H,H,,2003-10-03,2,0,0
02080717,000018748694,Storteboom Agri B.V.,3881SL,Voorthuizerstraat,148,,3881SL,Putten,41,,0.0,industriefunctie,7567.0,in gebruik,H,,,2015-02-24,5,0,0
02080749,000010560246,BJJ Logistics B.V.,9672AD,J.A. Koningstraat,28,D Unit 33,9672AD,Winschoten,41,,0.0,industriefunctie,396.0,in gebruik,H,K,,2017-06-13,2,0,0
02080962,000003523446,Bronsema Transport & Expeditie,9281LC,Reitsmastrjitte,75,A,9281LC,Harkema,1,,0.0,woonfunctie,40.0,ingetrokken,H,,,,2,0,0
02088362,000011092912,RAM Logistics B.V.,1705JC,C Maria Smoorenburg erf,11,,1705JC,Heerhugowaard,41,,0.0,woonfunctie,180.0,in gebruik,H,,,2006-03-04,2,0,0
02088527,000012762695,Boerema Logistiek,9982AX,Torenstraat,28,,9982AX,Uithuizermeeden,1,,0.0,woonfunctie,192.0,in gebruik,H,N,M,2005-06-05,3,1,0
02088575,000018472052,Euro Logistic Groningen B.V.,9672BN,Zeefbaan,29,,9672BN,Winschoten,41,,0.0,kantoorfunctie,1802.0,in gebruik (niet ingemeten),H,,,2005-11-05,2,1,0
02088906,000016285247,AZ Consumentenbezorgingen B.V.,9723JC,Stavangerweg,23,17,9723JC,Groningen,41,,0.0,industriefunctie,148.0,in gebruik,H,,,2005-02-06,2,1,0
02089093,000019477082,Oldenburger Verhuur & Transport B.V.,9321HB,Kerkstraat,32,,9321HB,Peize,41,,0.0,woonfunctie,843.0,in gebruik,N,G,H,2005-06-15,1,0,0
02091099,,Stichting Galactica,9742LA,Antaresstraat,5,f,9742LA,Groningen,74,,0.0,woonfunctie,52.0,in gebruik,H,,,2005-06-15,1,0,0
02093577,000015807975,Grona Newbuilding,2585GJ,Surinamestraat,22,,2585GJ,'s-Gravenhage,41,,0.0,woonfunctie,447.0,in gebruik,H,,,2017-03-02,1,0,0
02094756,000014913232,Spijker Logistics,9672BA,Havenkade-Oost,4,,9672BA,Winschoten,1,www.regiovracht.nl,0.0,industriefunctie,6754.0,in gebruik,H,G,,2006-08-17,3,1,0
02096524,000009185321,Across the world shipping,2533SG,Aagje Dekenlaan,49,,2533SG,'s-Gravenhage,1,,0.0,woonfunctie,143.0,in gebruik,H,,,2017-07-13,2,0,0
02097570,000003828573,JS logistic ict,9665MR,Rietgors,58,,9665MR,Oude Pekela,1,www.jslogistic-ict.nl,0.0,woonfunctie,284.0,in gebruik,J,H,,2007-02-23,2,1,0
02099332,000011433108,Professional Logistics Service B.V.,9672BN,Zeefbaan,20,f,9672BN,Winschoten,41,,0.0,kantoorfunctie,195.0,in gebruik,H,G,K,2007-06-18,4,0,0
02101437,000018646301,ForestField Logistics B.V.,9628CD,Oudeweg,109,,9628CD,Siddeburen,41,www.forestfieldlogistics.com,0.0,winkelfunctie,276.0,in gebruik,H,H,,2007-11-22,2,1,0
02101438,000018012248,NVO Holding B.V.,9636HW,Weg der Verenigde Naties,22,,9636HW,Zuidbroek,41,,0.0,industriefunctie,4400.0,in gebruik,H,,,2007-11-22,1,0,0
02300483,000017651018,Wijnne & Barends' Cargad.- & Agentuurk. B.V.,9934AR,Handelskade Oost,5,,9934AR,Delfzijl,41,www.wijnnebarends.com,0.0,industriefunctie,6411.0,in gebruik,H,H,,1921-05-17,6,0,0
02304700,000018339689,Wagenborg Agencies B.V.,9934CK,Marktstraat,10,,9934CK,Delfzijl,41,,0.0,woonfunctie,261.0,in gebruik,H,,,1934-05-05,1,0,0
02309256,000018979297,Wagenborg Scheepvaart B.V.,9934CK,Marktstraat,10,,9934CK,Delfzijl,41,,0.0,woonfunctie,261.0,in gebruik,H,N,,1934-05-05,9,0,0
02315208,000017812992,Veem & Factor Delfzijl B.V.,9934CK,Marktstraat,10,,9934CK,Delfzijl,41,www.veem-factor.nl,0.0,woonfunctie,261.0,in gebruik,H,H,H,1960-04-14,1,0,0
02319190,000018353533,Clarissa Holding B.V.,9934AR,Handelskade Oost,5,,9934AR,Delfzijl,41,,0.0,industriefunctie,6411.0,in gebruik,H,H,,,1,0,0
02321894,000013948164,JEZET Onroerend Goed B.V.,9672AR,Industrieweg,18,,9672AR,Winschoten,41,,0.0,industriefunctie,698.0,in gebruik,H,H,,1994-04-20,2,0,0
02322050,000002491664,Int. Bevrachtingskantoor van der Veen B.V.,9936GZ,Zijlvest,14,,9936GZ,Farmsum,41,www.vanderveenbevrachting.nl,0.0,woonfunctie,80.0,in gebruik,H,,,1978-09-22,4,1,0
02322999,000019277466,Amasus Shipping B.V.,9934GD,Abel Tasmanplein,4,,9934GD,Delfzijl,41,www.amasus.nl,0.0,onderwijsfunctie,1424.0,in gebruik (niet ingemeten),H,,,1980-03-12,1,1,0
02327128,000020494688,Wijnne & Barends' Chartering B.V.,9934AR,Handelskade Oost,5,,9934AR,Delfzijl,41,,0.0,industriefunctie,6411.0,in gebruik,H,,,1989-02-23,1,0,0
02329565,000019847475,Insolvencie Logistiek B.V.,9561ZA,Generaal Maczeklaan,15,,9561ZA,Ter Apel,41,,0.0,woonfunctie,225.0,in gebruik,H,N,,1992-08-07,1,0,0
02330339,000015444759,Road Service Groningen,9648KK,J. Kammingastraat,105,,9648KK,Wildervank,1,,0.0,woonfunctie,430.0,in gebruik,H,,,1993-06-29,2,0,0
02330341,000002485850,Grodal Expeditie B.V.,9641JT,Boven Oosterdiep,96,,9641JT,Veendam,41,www.grodal.nl,0.0,woonfunctie,126.0,in gebruik,H,,,1993-06-30,3,0,0
02331205,000010985956,Ka-Em Logistics B.V.,9712LG,Haverkampsdrift,36,,9712LG,Groningen,41,,0.0,woonfunctie,147.0,in gebruik,H,,,1994-06-21,2,0,0
02332381,000005230403,Euroarctic Shipping & Forwarding B.V.,9934AR,Handelskade Oost,5,,9934AR,Delfzijl,41,,0.0,industriefunctie,6411.0,in gebruik,H,,,1995-06-29,1,0,0
02333806,000001386492,Bevrachtingskantoor Molema,9649AJ,Domela Nieuwenhuisweg,22,,9649AJ,Muntendam,1,,0.0,woonfunctie,108.0,in gebruik,H,,,1996-09-25,2,0,0
02334173,000004265483,Scheepsbevrachtingskantoor Bijma,9636BT,W.A. Scholtenweg,84,,9636BT,Zuidbroek,1,,0.0,woonfunctie,167.0,in gebruik,H,,,1997-01-23,2,0,0
02334980,000019408110,Veem & Factor Agencies B.V.,9979XK,Eemshornweg,9,,9979XK,Eemshaven,41,www.veem-factor.nl,0.0,kantoorfunctie,716.0,in gebruik,H,,,1997-10-11,4,0,0
04032209,000018131794,Hoevers Logistiek B.V.,6827BJ,P. Calandweg,21,,6827BJ,Arnhem,41,www.hoeversgroep.nl,0.0,winkelfunctie,513.0,in gebruik,H,H,,2018-09-02,5,1,0
04037554,000017365155,Vacando B.V.,2952EH,Paardenboonhof,12,,2952EH,Alblasserdam,41,,0.0,woonfunctie,215.0,in gebruik,H,H,,2001-12-04,3,1,0
04039241,000015892123,Bork Transport B.V.,7903AS,Stephensonstraat,63,,7903AS,Hoogeveen,41,,0.0,industriefunctie,928.0,in gebruik,H,H,,1990-08-30,3,0,0
04039267,000017851017,Roona Internationaal Expeditiebedrijf B.V.,7825VL,Magelhaenstraat,27,,7825VL,Emmen,41,www.ronex.nl,0.0,winkelfunctie,163.0,in gebruik,H,H,,1990-05-09,5,0,0
04039468,000019639465,Oldenburger Transport B.V.,1431GB,Legmeerdijk,313,,1431GB,Aalsmeer,41,www.oldenburgertransport.com,0.0,overige gebruiksfunctie,4451.0,in gebruik (niet ingemeten),H,H,,2016-07-11,7,0,0
04040443,000018147860,KGH Customs Services B.V.,7825GS,Edisonstraat,2,D,7825GS,Emmen,41,www.kghcustoms.com,0.0,industriefunctie,600.0,in gebruik,H,N,,1991-05-28,5,0,1
04040443,000027192792,KGH Customs Services B.V.,1119RB,Beechavenue,121,,1119RB,Schiphol-Rijk,41,www.kghcustoms.com,0.0,kantoorfunctie,1088.0,in gebruik,H,,,1991-05-28,5,0,1
04040443,000027192806,KGH Customs Services B.V.,2991LJ,Zuideinde,65,,2991LJ,Barendrecht,41,www.kghcustoms.com,0.0,kantoorfunctie,250.0,in gebruik,H,,,1991-05-28,5,0,1
04042745,000012955779,Contras,7908MZ,Gerstekamp,8,,7908MZ,Hoogeveen,1,www.lsch.eu,0.0,woonfunctie,210.0,in gebruik,H,N,,1992-09-28,2,0,0
04043783,000016399048,Logidyn B.V.,9411SB,Romhof,15,,9411SB,Beilen,41,,0.0,industriefunctie,824.0,in gebruik,H,H,G,1993-06-04,3,0,0
04045835,000015186911,M. Keijzer,9418TN,Oost Veldweg,9,,9418TN,Wijster,1,,0.0,woonfunctie,130.0,in gebruik,H,N,,1994-03-28,2,1,0
04048282,000018025153,Vn International,9206AK,De Roef,7,a,9206AK,Drachten,41,,0.0,industriefunctie,134.0,in gebruik,H,,,1998-01-22,1,0,0
04049201,000003348385,Bouter Dussen Beheer B.V.,5464PA,Spoorven,501,,5464PA,Veghel,41,,0.0,woonfunctie,181.0,in gebruik,H,,,2015-11-06,1,0,0
04049455,000020093039,Finsterwalder Transport & Logistiek,5993SL,Olivier van Noortweg,7,,5993SL,Maasbree,41,www.finsterwalder.com,0.0,onderwijsfunctie,2855.0,in gebruik,H,,,2010-12-30,1,0,0
04049592,000000174564,Halliburton B.V.,4751XK,Boekerman,5,,4751XK,Oud Gastel,41,,0.0,industriefunctie,15081.0,in gebruik,H,M,,2016-02-11,6,0,0
04049842,000001336894,Groningen Airport Eelde N.V.,9761TK,Machlaan,14,A,9761TK,Eelde,51,www.gae.nl,0.0,kantoorfunctie,840.0,in gebruik,H,H,H,1995-11-29,7,0,0
04058758,000018691536,D.T.C. Surhuisterveen B.V.,9207HE,Fahrenheitlaan,6,H,9207HE,Drachten-Azeven,41,www.dtcsurhuisterveen.nl,0.0,industriefunctie,816.0,in gebruik,H,H,,2007-08-21,4,1,0
04060394,000016044584,Distrivers B.V.,7901TG,De Stroom,5,,7901TG,Hoogeveen,41,,0.0,industriefunctie,5478.0,in gebruik,H,G,N,2000-06-01,1,0,0
